QueryNumber;Precision@5;Precision@10;F1
1;944.3;949.4;0.06
2;720.03;720.03;0.02
3;1004.1;1009.2;0.08
4;465.04;470.04;0.04
5;501.7;502.67;0.24
6;967.05;972.07;0.04
7;973.02;973.02;0.04
8;798.1;803.2;0.04
9;774.1;774.1;0.02
10;925.1;930.2;0.04
11;410.6;415.6;0.08
12;986.1;991.07;0.02
13;968.1;968.1;0.04
14;1017.4;1022.8;0.09
15;450.3;455.4;0.18
16;800.6;805.8;0.28
17;1032.2;1037.2;0.08
18;916.1;921.2;0.04
19;984.3;989.4;0.04
20;982.7;983.78;0.08
21;967.1;972.2;0.04
22;428.5;433.8;0.14
23;834.05;834.05;0.06
24;840.03;840.03;0.06
25;705.4;710.4;0.11
26;436.2;441.4;0.08
27;583.1;583.1;0.04
28;422.3;427.6;0.11
29;473.2;478.2;0.11
30;795.05;800.07;0.04
31;959.3;964.4;0.08
32;929.1;929.1;0.04
33;528.3;533.6;0.16
34;533.5;538.4;0.11
35;982.01;987.01;0.02
36;891.03;896.02;0.02
37;817.9;822.8;0.18
38;397.5;402.4;0.11
39;617.7;618.67;0.3
40;908.5;913.8;0.22
41;990.1;995.2;0.02
42;971.3;976.6;0.08
43;544.1;549.2;0.24
44;953.5;958.6;0.24
45;962.1;967.2;0.04
46;951.2;956.2;0.02
47;1048.2;1053.4;0.11
48;982.2;987.2;0.06
49;983.7;988.8;0.06
50;955.3;960.4;0.04
51;1158.5;1163.8;0.35
52;3.0;3.0;0.0
53;913.4;918.4;0.04
54;1022.2;1027.2;0.11
55;886.02;886.02;0.04
56;942.1;947.2;0.06
57;913.5;918.6;0.1
58;943.5;948.4;0.16
59;962.2;962.2;0.23
60;572.05;577.07;0.08
61;936.6;941.6;0.11
62;1047.3;1052.2;0.21
63;911.1;916.2;0.06
64;999.4;1004.4;0.1
65;964.6;969.8;0.16
66;1023.2;1028.2;0.11
67;806.4;811.6;0.04
68;915.1;920.2;0.09
69;894.05;894.05;0.02
70;904.05;904.05;0.04
71;1083.2;1088.2;0.02
72;922.2;927.4;0.02
73;926.1;931.2;0.04
74;967.05;972.07;0.02
75;943.4;948.8;0.04
76;969.1;974.2;0.02
77;974.2;979.4;0.11
78;991.6;996.8;0.13
79;935.6;940.8;0.08
80;407.4;412.4;0.11
81;944.2;949.2;0.06
82;1039.2;1044.2;0.09
83;1027.2;1032.4;0.06
84;895.4;900.4;0.04
85;980.2;985.2;0.06
86;1038.5;1043.6;0.08
87;1031.2;1036.4;0.08
88;1015.03;1020.04;0.02
89;954.1;959.2;0.04
90;950.2;955.2;0.06
91;781.7;786.8;0.36
92;888.7;893.8;0.19
94;412.7;413.78;0.14
95;815.01;820.01;0.02
96;1040.05;1040.05;0.02
97;972.2;977.4;0.02
98;675.1;680.2;0.04
99;610.01;610.01;0.02
100;905.03;905.03;0.02
